Class; Value; Class start; Class end;
237;22;144.751339469780;146.088527594437;
238;28;146.088527594437;147.425715719094;
239;45;147.425715719094;148.762903843750;
240;50;148.762903843750;150.100091968407;
241;52;150.100091968407;151.437280093064;
242;44;151.437280093064;152.774468217720;
243;50;152.774468217720;154.111656342377;
244;43;154.111656342377;155.448844467034;
245;36;155.448844467034;156.786032591690;
246;31;156.786032591690;158.123220716347;
247;27;158.123220716347;159.460408841004;
248;32;159.460408841004;160.797596965660;
249;14;160.797596965660;162.134785090317;
250;0;162.134785090317;163.471973214974;
251;9;163.471973214974;164.809161339630;
252;5;164.809161339630;166.146349464287;
253;1;166.146349464287;167.483537588944;
254;6;167.483537588944;168.820725713600;
255;18;168.820725713600;170.157913838257;
256;30;170.157913838257;171.495101962914;
